condition,task,run,model,timestamp,success,input_tokens,input_tokens_cached,output_tokens,reasoning_tokens,total_cost_usd,wall_clock_seconds,turn_count,command_count,error_count
actionbook,wikipedia_link_follow,1,claude-sonnet-4-6,2026-04-11T11:10:30.454Z,true,88751,80796,602,0,0.06309555,22.694,5,4,0
actionbook,wikipedia_link_follow,2,claude-sonnet-4-6,2026-04-11T11:11:11.534Z,true,144897,134932,1127,0,0.0947466,30.642,8,7,0
actionbook,wikipedia_link_follow,3,claude-sonnet-4-6,2026-04-11T11:11:48.625Z,true,107948,99306,800,0,0.07419404999999998,26.242,6,5,0
actionbook,wikipedia_link_follow,4,claude-sonnet-4-6,2026-04-11T11:12:23.007Z,true,88412,80817,666,0,0.06271185,21.121,5,4,0
actionbook,wikipedia_link_follow,5,claude-sonnet-4-6,2026-04-11T11:13:02.422Z,true,144549,135276,1078,0,0.0915198,28.641,8,7,0
actionbook,multi_site_research,1,claude-sonnet-4-6,2026-04-11T11:13:53.328Z,true,181589,173186,1147,0,0.1006638,39.082,10,9,0
actionbook,multi_site_research,2,claude-sonnet-4-6,2026-04-11T11:15:00.864Z,true,283575,273737,2093,0,0.15039659999999996,55.527,15,14,1
actionbook,multi_site_research,3,claude-sonnet-4-6,2026-04-11T11:16:09.648Z,true,290835,280577,1925,0,0.1515036,57.046,15,14,1
actionbook,multi_site_research,4,claude-sonnet-4-6,2026-04-11T11:17:18.261Z,true,314645,304787,2185,0,0.16116509999999998,57.16,17,16,1
actionbook,multi_site_research,5,claude-sonnet-4-6,2026-04-11T11:18:19.477Z,true,279995,269955,1949,0,0.14785950000000003,50.934,15,14,1
actionbook,wikipedia_search_click,1,claude-sonnet-4-6,2026-04-11T11:19:01.647Z,true,160001,151358,997,0,0.09276614999999999,32.066,9,8,0
actionbook,wikipedia_search_click,2,claude-sonnet-4-6,2026-04-11T11:19:51.397Z,true,182670,173428,1353,0,0.10697264999999999,39.034,10,9,0
actionbook,wikipedia_search_click,3,claude-sonnet-4-6,2026-04-11T11:20:45.785Z,true,179206,170498,1323,0,0.10364115000000002,43.776,10,9,0
actionbook,wikipedia_search_click,4,claude-sonnet-4-6,2026-04-11T11:21:33.568Z,true,185139,175195,1382,0,0.11057025,37.577,10,9,0
actionbook,wikipedia_search_click,5,claude-sonnet-4-6,2026-04-11T11:22:21.222Z,true,160500,151961,1198,0,0.09557204999999999,36.964,9,8,0
actionbook,read_static_page,1,claude-sonnet-4-6,2026-04-11T11:22:43.925Z,true,33788,27798,174,0,0.03340965,12.252,2,1,0
actionbook,read_static_page,2,claude-sonnet-4-6,2026-04-11T11:23:06.890Z,true,33829,27818,178,0,0.0335544,13.013,2,1,0
actionbook,read_static_page,3,claude-sonnet-4-6,2026-04-11T11:23:30.691Z,true,33829,27818,178,0,0.0335544,12.971,2,1,0
actionbook,read_static_page,4,claude-sonnet-4-6,2026-04-11T11:23:51.908Z,true,33828,27818,174,0,0.03349065,11.205,2,1,0
actionbook,read_static_page,5,claude-sonnet-4-6,2026-04-11T11:24:13.600Z,true,33831,27818,177,0,0.033546900000000004,11.897,2,1,0
actionbook,wikipedia_infobox_hop,1,claude-sonnet-4-6,2026-04-11T11:25:02.446Z,true,163963,155667,1217,0,0.09605759999999999,38.197,9,8,0
actionbook,wikipedia_infobox_hop,2,claude-sonnet-4-6,2026-04-11T11:25:40.286Z,true,126280,117697,968,0,0.08200935000000001,27.74,7,6,0
actionbook,wikipedia_infobox_hop,3,claude-sonnet-4-6,2026-04-11T11:26:32.470Z,true,125849,118068,902,0,0.07812314999999999,35.371,7,6,0
