condition,task,run,model,timestamp,success,input_tokens,input_tokens_cached,output_tokens,reasoning_tokens,total_cost_usd,wall_clock_seconds,turn_count,command_count,error_count
pinchtab,read_static_page,1,claude-sonnet-4-6,2026-03-25T20:15:13.535Z,true,60666,38581,148,0,0.09661080000000001,8.658,2,0,0
chrome-devtools-mcp,read_static_page,1,claude-sonnet-4-6,2026-03-25T20:15:17.990Z,true,136638,136634,188,0,0.043822200000000006,13.267,3,0,0
chrome-devtools-mcp-search,read_static_page,1,claude-sonnet-4-6,2026-03-25T20:15:19.673Z,true,122537,120675,345,0,0.048354749999999995,15.533,4,0,0
pinchtab,read_static_page,2,claude-sonnet-4-6,2026-03-25T20:15:28.272Z,true,90975,68808,222,0,0.10709565000000001,10.909,3,0,0
chrome-devtools-mcp-code,read_static_page,1,claude-sonnet-4-6,2026-03-25T20:15:31.008Z,true,92023,91516,369,0,0.03488805,22.088,3,0,0
agent-browser,read_static_page,1,claude-sonnet-4-6,2026-03-25T20:15:31.783Z,true,92616,70186,222,0,0.10849529999999999,22.682,3,0,0
chrome-devtools-mcp,read_static_page,2,claude-sonnet-4-6,2026-03-25T20:15:39.747Z,true,135030,103756,188,0,0.1512213,15.541,3,0,0
chrome-devtools-mcp-search,read_static_page,2,claude-sonnet-4-6,2026-03-25T20:15:41.471Z,true,122521,100108,344,0,0.1192359,15.279,4,0,0
chrome-devtools-mcp-code,read_static_page,2,claude-sonnet-4-6,2026-03-25T20:15:47.044Z,true,92012,69707,368,0,0.11007285,9.91,3,0,0
pinchtab,read_static_page,3,claude-sonnet-4-6,2026-03-25T20:15:49.355Z,true,90949,68551,213,0,0.10774979999999999,10.982,3,0,0
chrome-devtools-mcp,read_static_page,3,claude-sonnet-4-6,2026-03-25T20:15:53.511Z,true,135021,113436,178,0,0.11764155,10.342,3,0,0
chrome-devtools-mcp-search,read_static_page,3,claude-sonnet-4-6,2026-03-25T20:16:02.286Z,true,122497,100093,338,0,0.11910765,16.601,4,0,0
agent-browser,read_static_page,2,claude-sonnet-4-6,2026-03-25T20:16:02.376Z,true,92608,70180,233,0,0.108651,25.968,3,0,0
chrome-devtools-mcp-code,read_static_page,3,claude-sonnet-4-6,2026-03-25T20:16:04.033Z,true,91999,69698,366,0,0.11002515,12.578,3,0,0
pinchtab,read_static_page,4,claude-sonnet-4-6,2026-03-25T20:16:04.605Z,true,90954,68796,233,0,0.1072233,9.586,3,0,0
agent-browser,read_static_page,3,claude-sonnet-4-6,2026-03-25T20:16:17.869Z,true,92597,70173,222,0,0.1084689,11.672,3,0,0
chrome-devtools-mcp-code,read_static_page,4,claude-sonnet-4-6,2026-03-25T20:16:18.788Z,true,91990,69692,369,0,0.11005710000000002,10.233,3,0,0
chrome-devtools-mcp-search,read_static_page,4,claude-sonnet-4-6,2026-03-25T20:16:21.352Z,true,122452,99913,325,0,0.1193649,14.465,4,0,0
pinchtab,read_static_page,5,claude-sonnet-4-6,2026-03-25T20:16:22.036Z,true,90950,68541,238,0,0.10816305,10.101,3,0,0
chrome-devtools-mcp,read_static_page,4,claude-sonnet-4-6,2026-03-25T20:16:26.924Z,true,136629,115044,178,0,0.11812394999999999,27.615,3,0,0
agent-browser,read_static_page,4,claude-sonnet-4-6,2026-03-25T20:16:35.476Z,true,61643,39304,147,0,0.0977652,7.382,2,0,0
pinchtab,wikipedia_fact_lookup,1,claude-sonnet-4-6,2026-03-25T20:16:39.371Z,true,121576,99409,348,0,0.1181652,12.145,4,0,0
chrome-devtools-mcp-code,read_static_page,5,claude-sonnet-4-6,2026-03-25T20:16:42.453Z,true,91996,69696,366,0,0.11002080000000002,19.982,3,0,0
chrome-devtools-mcp-search,read_static_page,5,claude-sonnet-4-6,2026-03-25T20:16:44.932Z,true,122470,100075,330,0,0.11894849999999998,19.656,4,0,0
chrome-devtools-mcp,read_static_page,5,claude-sonnet-4-6,2026-03-25T20:16:51.071Z,true,135006,113426,188,0,0.1177698,20.102,3,0,0
agent-browser,read_static_page,5,claude-sonnet-4-6,2026-03-25T20:16:53.730Z,true,92596,70172,233,0,0.1086336,11.829,3,0,0
chrome-devtools-mcp,wikipedia_fact_lookup,1,claude-sonnet-4-6,2026-03-25T20:17:08.438Z,true,135096,113479,287,0,0.11940945000000001,13.322,3,0,0
agent-browser,wikipedia_fact_lookup,1,claude-sonnet-4-6,2026-03-25T20:17:09.696Z,true,92993,70307,262,0,0.1100916,11.59,3,0,0
pinchtab,wikipedia_fact_lookup,2,claude-sonnet-4-6,2026-03-25T20:17:12.083Z,true,121824,99150,426,0,0.12115875,28.828,4,0,0
chrome-devtools-mcp-code,wikipedia_fact_lookup,1,claude-sonnet-4-6,2026-03-25T20:17:14.167Z,true,168361,140901,644,0,0.1549008,25.363,5,0,0
chrome-devtools-mcp-search,wikipedia_fact_lookup,1,claude-sonnet-4-6,2026-03-25T20:17:15.562Z,true,154554,131452,563,0,0.1345056,24.945,5,0,0
chrome-devtools-mcp,wikipedia_fact_lookup,2,claude-sonnet-4-6,2026-03-25T20:17:28.584Z,true,136705,115081,299,0,0.1200963,16.267,3,0,0
agent-browser,wikipedia_fact_lookup,2,claude-sonnet-4-6,2026-03-25T20:17:32.306Z,true,157878,133665,633,0,0.14038875,16.649,5,0,0
pinchtab,wikipedia_fact_lookup,3,claude-sonnet-4-6,2026-03-25T20:17:41.772Z,true,152994,130355,745,0,0.13517325000000002,22.497,5,0,0
chrome-devtools-mcp,wikipedia_fact_lookup,3,claude-sonnet-4-6,2026-03-25T20:17:48.680Z,true,136696,115075,299,0,0.12008325,16.239,3,0,0
